Column,"30/06/2024
(Reviewed)",Column,"31/12/2023
(Audited)",Column
8. Restructured loans,,,,
a. No. of borrowers,809,,910,
b. Amount outstanding (Frw ‘000),"33,233,186",,"39,844,144",
"c. Provision thereon (Frw ‘000)
(regulatory)","695,351",,"4,346,671",
"d. Restructured loans as % of gross
loans",7.3,,9.7,
III. Liquidity,,,,
a. Liquidity Coverage ratio (LCR) in %,441,,186,
b. Net Stable Funding ratio (NSFR) in %,173,,128,
IV. Operational Risk,,,,
Number and types of frauds and their corresponding amount,,,,
Type,No,"Amount
Frw000",No,"Amount
Frw000"
"External - Use of forged payment
order",1,"51,685",1,"21,372"
"Internal - Use of forged payment
order",-,-,-,-
Internal - Theft,-,-,-,-
"Hybrid (Internal&External)-Use of
forged loan request documents",-,"48,000",-,-
V. Market Risk,,,,
1. Interest rate risk,"1,977,678",,"2,100,471",
2. Equity position risk,-,,-,
3. Foreign exchange risk,"1,064,042",,"258,143",
VI. Country Risk,,,,
1. Credit exposures abroad,"156,079,259",,"104,602,279",
2. Other assets held abroad,-,,-,
3. Liabilities to abroad,"23,088,405",,"27,263,436",
VII. Management and Board Composition,,,,
a. Number of Board members,9,,9,
b. Number of independent directors,6,,6,
c. Number of non-independent directors,3,,3,
d. Number of female directors,2,,2,
e. Number of male directors,7,,7,
f. Number of Senior Managers,11,,13,
g. Number of female senior managers,5,,5,
h. Number of male senior managers,6,,8,
