Holder Names,Shares,% Holding
Minard Holdings Limited,"88,325,016",21.37%
Tecoma Limited,"76,044,808",18.39%
Ziyungi Limited,"73,548,000",17.79%
Standard Chartered Kenya Nominees A/C K/E002796,"41,881,500",10.13%
Bhagwanji Raja Charitable Foundation The Registered Trustees,"9,458,830",2.29%
Investments & Mortgages Nominees Ltd A/C 0001229,"8,479,286",2.05%
Investments & Mortgages Nominees Ltd A/C 0004047,"8,395,468",2.03%
Investments & Mortgages Nominees Ltd A/C 002983,"6,000,000",1.45%
Blanford Investments Limited,"4,578,602",1.11%
Lombard Holdings Limited,"3,686,362",0.89%
