/,Column,Column,Column,Column,Column,Column
,,,mm,,,
,NOTES TO THE ACCOUNTS (CONTINUED),,,,,
,,YEAR ENDED 30 JUNE 1997,,,,
8,FIXED ASSETS,,,,,
,,,,Office,,
,,Leasehold,,Equipment,,
,,Land and,Plant and,Furniture,Motor,
,,Buildings,Machinery,and Fittings,Vehicles,Total
,,Shs'OOO,Shs'OOO,Shs'OOO,Shs'OOO,Shs'OOO
,Cost,,,,,
,At 1July 1996,"226,303","23,367","49,4':15","40,580","339,745"
,,,,,,r-:
,Additions,"27,132","10,430","18,636",,"56,198"
,Disposals,"(68,012)","(5,082)","(5,831)","(3,973)","(82,898)"
,At 30June 1997,"185,423","28,715","62,300","36,607","313,045"
,Comprising:,,,,,
,Cost,"79,923","28,715","62,300","36,607","207,545"
,Valuation,"105,500",,,,"105,500"
,Depreciation,,,,,
,At 1July 1996,"19,323","16,886","20,829","21,584","78,622"
,Charge for the year,"5,602","3,146","8,261","8,225","25,234"
,Release on disposals,"(4,672)","(1,505)","(1,963)","(2,037)","(10,177)"
,At 30June 1997,"20,253","18,527","27,127","27,772","93,679"
,Net book amount,,,,,
,At 30June 1997,"165,170","10,188","35,173","8,835","219,366"
,At 30June 1996,"206,980","6,481","28,666","18,996","261,123"
,"The leasehold land and buildings were valued, at open market value, on 4January 1992by Tysons Limited,",,,,,
,"registered valuers. The resulting increase in net carrying value, amounting to Shs 65,834,000, was credited to",,,,,
,capital reserve.,,,,,
9,CAPITAL WORK IN PROGRESS,,,,,
,"Comprises incomplete construction work at the end ofthe year, relating to the company's new premises on",,,,,
,Ngong Road. Construction work isnearing completion and the new branch isexpected to start operation in,,,,,
,the financial year ending 30June 1998.,,,,,
