Column,1997,1996
,Shs'OOO,Shs '000
CASH FLOW FROM OPERATING ACTIVITIES,,
Profit before taxation,"364,085","405,777"
Adjustments for:,,
Depreciation,"25,234","19,914"
Interest received,"(101,728)","(93,658)"
Interest paid,199,140
Loss on disposal offixed assets,"17,678",
Operating profit before working capital changes,"305,468","332,173"
Decrease in stock,"40,450","19,694"
(Increase) /decrease in debtors,"(104,132)","25,919"
Increase in creditors,"208,854","54,650"
Cash generated from operations,"450,640","432,436"
Income taxpaid,"(145,140)","(147,643)"
Net cash from operating activities,"305,500","284,793"
RETURN ON INVESTMENTS AND,,
SERVICING OF FINANCE,,
Interest paid,(199),(140)
Interest received,"101,728","93,658"
Dividend paid,"(160,000)","(200,000)"
Net cash outflow from investments and,,
servicing of finance,"(58,471)","(106,482)"
CASH FLOW FROM INVESTING ACTIVITIES,,
Purchase offixed assets,"(56,198)","(15,395)"
Capital work in progress,"(112,268)","(16,184)"
Proceeds on disposal offixed assets,"55,043",
Net cash outflow from investing activities,"(113,423)","(31,579)"
NET INCREASE IN CASH AND CASH EQUIVALENTS,"133,606","146,732"
CASH AND CASH EQUIVALENTS AT1JULY,"447,407","300,675"
CASH AND CASH EQUIVALENTS AT30JUNE,"581,013","447,407"
