"Skills and Competences for BOC
Board",augubM,ignawM,aniaM,regurK,egorojN,edneteW,uamaK,yttehC
Gas Industry Knowledge,√,√,,√,,,√,√
Listed Company Board Experience,√,√,,√,√,√,√,√
"Governance Leadership/Corporate
Management",√,√,√,√,√,√,√,√
Trade Block Experience,√,√,,√,,,√,√
Audit/Finance,√,,√,√,,,√,√
Risk Management,√,√,√,√,√,√,√,√
"Local Regulation/Public Policy/Govt.
relations",√,√,√,,,√,√,
Legal,,,,,,,√,
Marketing/Sales/Distribution,,√,,,√,,,√
"People/Organizational Development/
Remuneration",√,√,√,√,√,√,√,√
Information Technology,,,√,,√,,,
Manufacturing Industry experience,,√,√,√,,,√,√
Gender Diversity,,√,,,√,√,,
