GRI Standard and Disclosure,Information,UNGC Principles,SDG Goals
"Disclosure 204–1 Proportion of spending on local
suppliers",,,
Ethics & Business Conduct,,,
"GRI 103: Management Approach Disclosure
103–1 Explanation of the material topic and its
boundary",,,
"GRI 205: Anti-corruption 2016 Disclosure
205–2 Communication and training about anti-
corruption policies and procedure",,,
"The management approach and its components
Disclosure 103–3 Evaluation of the management
approach",,,
Human Rights,,,
"Disclosure 103–1 Explanation of the material
topic and its boundary Disclosure 103–2 The
management approach and its components
Disclosure 103–3 Evaluation of the management
approach",,"1,2,3,4 and 5",
"GRI 402: Labor/Management Relations
Disclosure 402–1 Minimum notice periods
regarding operational changes",,,
"407: Freedom of Association and Collective
Bargaining",,,
"Diversity, Inclusion & People Development",,,
"GRI 103: Management Approach Disclosure
103–1 Explanation of the material topic and its
boundary Disclosure 103–2 The management
approach and its components men",,,
"GRI 401: Employment Disclosure 401–1
New employee hires and employee turnover
Disclosure 401–3 Parental leave",,,
"GRI 404: Training and Education Disclosure
404–2 Programs for upgrading employee skills
and transition assistance programs Disclosure
404–3 Percentage of employees receiving regular
performance and career development reviews",,,
"GRI 406: Non-discrimination Disclosure 406–1
Incidents of discrimination and corrective actions
taken",,,
"GRI 405: Diversity and Equal Opportunity
Disclosure 405–1 Diversity of governance bodies
and employees Disclosure 405–2 Ratio of basic
salary and remuneration of women to men",,,
