GRI Standard and Disclosure,Information,UNGC Principles,SDG Goals
Strategy,,,
"Disclosure 102–14 Statement from senior
decisionmaker",Annual Report,,
Ethics and Integrity,,,
"Disclosure 102–17 Mechanisms for advice and
concerns about ethics",,10,SDG 16
Governance,,,
Disclosure 102–18 Governance structure,Annual Report,,
Stakeholder Engagement,,,
Disclosure 102–44 Key topics and concerns raised,,,
Reporting Practice,,,
"Disclosure 102–45 Entities included in the
consolidated financial statements","This report covers the
whole scope of BOC Kenya
PLC.",,
"Disclosure 102–46 Defining report content and
topic boundaries",,,
Disclosure 102–47 List of material topics,,,
Disclosure 102–50 Reporting period,,,
Disclosure 102–51 Date of most recent report,January 2022,,
Disclosure 102–52 Reporting cycle,Annually,,
"Disclosure 102– 53 Contact point for questions
regarding the report",Catherine.Kamau@boc.com,,
"Disclosure 102–54 Claims of reporting in
accordance with the GRI Standards","This report has been
prepared in reference to the
GRI Standards.",,
Disclosure 102–55 GRI content index,,,
Topic-Specific Disclosures Economic Performance,,,
"Disclosure 103–1 Explanation of the material
topic and its boundary",,,
"Disclosure 103–2 The management approach and
its components",,,
"GRI 201: Economic performance Disclosure
201–1 Direct economic value generated and
distributed",,,
"Disclosure 201–2 Financial implications and
other risks and opportunities due to climate
change",,,
"Disclosure 201–3 Defined benefit plan obligations
and other retirement plans",,,
GRI 204: Procurement Practices,,,SDG 8
