Non-Executive Director Remuneration,Column,Column,Column,Column,Column,Column
Name,"Annual
Fees","Sitting
Allowance1","Total
2024","Annual
Fees","Sitting
Allowance1","Total
2024"
,Kes '000,Kes '000,Kes '000,Kes '000,Kes '000,Kes '000
Dr John Simba,"1,980","2,726","4,706","1,913","2,750","4,663"
Rita Kavashe,920,"1,855","2,775",888,"1,393","2,281"
Alice Owuor,920,"2,333","3,253",888,"2,350","3,238"
Dr Helen Gichohi,920,"2,213","3,133",888,"2,110","2,998"
Mbuvi Ngunze,920,"2,333","3,253",888,"2,350","3,238"
Austin A.O. Ouko,-,-,-,-,"1,435","1,435"
David Koros,-,"1,496","1,496",-,-,-
"National Social
Security Fund",920,-,920,888,198,"1,086"
Total Fees,"6,580","12,956","19,536","6,353","12,586","18,939"
