Item,Column,Breakdown,2017,2016
,,,Shs,Shs
Salary,,,"36,120,301","37,045,900"
Performance Bonus,,,"9,306,650","12,339,110"
Taxable Benefits,Cash,Car allowance,-,-
,,Lunch allowance,"64,800","86,400"
,,House allowance,"5,657,139","7,542,852"
,,Utility allowance,"49,314","55,819"
,,Telephone allowance,"308,245","792,076"
,,Home travel allowance,-,-
,,School fees allowance,-,-
,,Accrued leave,"4,102,129",-
,Non-cash,Health insurance,"432,771","1,326,000"
,,Company car,"752,826","1,003,767"
,,Company driver,"735,543","980,724"
,,House,-,-
,,Security,"100,866","111,760"
,,Travel to home country,"1,673,170","1,773,761"
,,Tax advice,"378,872","69,000"
Other benefits,,School fees allowance,-,-
,,GPA Insurance,-,-
,,Group life insurance,-,-
,,Other expat expenses,-,"210,290"
Pension,,,"8,518,387","13,941,040"
Total,,,"68,201,013","77,278,499"
