"Employee and
Diversity",Column,KENYA,Column,Column,Column,UGANDA,Column,Column,Column
,Unit,2020,2021,2022,2023,2020,2021,2022,2023
Permanent Employees,%,99.2,95.1,97.3,100,99.3,99.6,99.6,100
"Women at Senior
Management Level",%,37.5,42.9,28.6,14.29,16.7,20,16.7,12
"Women at all
Management Levels",%,34.8,35.8,35.6,38.6,23.1,25.6,24.8,12
"Women in Total in the
Workforce",%,20.3,22.1,22.3,23.1,16,16.9,15.7,14
"Human Rights and
Social Initiatives",,KENYA,,,,UGANDA,,,
,Unit,2020,2021,2022,2023,2020,2021,2022,2023
"Days Dedicated to
Human Rights Approach",Days,0,105,228,125,0,25,18,36
"Social Initiatives
Beneficiaries",#,"47,228","21,859","27,816","55,873","16,028","5,857","9,205","12,850"
"Sustainable
Procurement",,KENYA,,,,UGANDA,,,
,Unit,2020,2021,2022,2023,2020,2021,2022,2023
"% Consolidated
Spend on Local
Underrepresented group",,10.22,19.36,14.4,12.1,"Not
measured","Not
measured","Not
measured","Not
measured"
"Ethics and
Compliance",,KENYA,,,,UGANDA,,,
,Unit,2020,2021,2022,2023,2020,2021,2022,2023
"Number of Employees
Trained on COBC",%,84.6,95.1,99,-,92,95,97,100
"Hours of Training on
COBC per Employee",Hours,1.45,1.45,2,-,7.5,7.5,1.5,2
