Non-Executive Director Remuneration,Column,Column,Column,Column,Column,Column
Name,"Annual
Fees","Sitting
Allowance1",Total 2023,"Annual
Fees","Sitting
Allowance1",Total 2022
,Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000
Dr John Simba,"1,913","2,750","4,663","1,554","1,479","3,033"
Rita Kavashe,888,"1,393","2,281",691,"1,315","2,006"
Alice Owuor,888,"2,350","3,238",691,"1,554","2,245"
Dr Helen Gichohi,888,"2,110","2,998",691,956,"1,647"
Mbuvi Ngunze,888,"2,350","3,238",691,"1,554","2,245"
Austin A.O. Ouko,-,"1,435","1,435",-,"1,315","1,315"
National Social Security Fund,888,198,"1,086",691,-,691
Total Fees,"6,353","12,586","18,939","5,009","8,173","13,182"
