Column,"Effective for annual
periods beginning on
or after"
New and Amendments to standards,
"IFRS 9, Financial Instruments – Classification and Measurement (2010)",1 January 2015
"IFRS 10,Consolidated Financial Statements",1 January 2013
"IFRS 11,Joint Arrangements",1 January 2013
"IFRS 12,Disclosure of Interests in Other Entities",1 January 2013
"IFRS 13,Fair Value Measurement",1 January 2013
"IAS 12, Income Taxes – limited scope amendment (recovery of underlying assets)",1 January 2012
"IAS 1, Presentation of Financial Statements – presentation of items of other
comprehensive income",1 July 2012
"IAS 19, Employee Benefits (2011)",1 January 2013
"IAS 28, Investments in Associates and Joint Ventures (2011)",1 January 2013
Amendment to interpretations,
"IFRIC 14, IAS 19 – The Limit on a Defined Benefit Asset, Minimum Funding
Requirements and their interaction; prepayments of a minimum funding requirement",1 January 2013
"New interpretations
IFRIC 20, Striping Costs in the production phase of a surface mine",
,1 January 2013
