GRI STANDARD,DISCLOSURE,LOCATION
GRI General Disclosures,,
GRI 2: General Disclosures,3-1 Process to determine material topics,Our materiality assessment process
,3-2 List of material topics,Our material topics
"GRI 201: Economic
Performance","201-1 Direct economic value generated and
distributed",Financial Review
,"201-2 Financial implications and other risks and
opportunities due to climate change",
,"201-3 Defined benefit plan obligations and other
retirement plans",Financial Review
GRI 202: Market Presence,"202-1 Ratios of standard entry level wage by
gender compared to local minimum wage",
,"202-2 Proportion of senior management hired
from the local community",
"GRI 203: Indirect Economic
Impacts","203-1 Infrastructure investments and services
supported",Infrastructure services supported in 2023
,203-2 Significant indirect economic impacts,"Significant indirect economic impacts in
2023"
"GRI 204: Procurement
Practices",204-1 Proportion of spending on local suppliers,Material Topic: Sustainable Procurement
GRI 205: Anti-corruption,"205-1 Operations assessed for risks related to
corruption",Corporate Governance
,"205-2 Communication and training about anti-
corruption policies and procedures",Corporate Governance
,"205-3 Confirmed incidents of corruption and
actions taken",
"GRI 206: Anti-competitive
Behaviour","206-1 Legal actions for anti-competitive behaviour,
antitrust, and monopoly practices",
GRI 207: Tax,207-1 Approach to tax,Financial Review
,"207-2 Tax governance, control, and risk
management",
,"207-3 Stakeholder engagement and management
of concerns related to tax",Stakeholder Engagement
,207-4 Country-by-country reporting,
GRI 301: Materials,301-2 Recycled input materials used,"Material Topic, Circular Economy"
,"301-3 Reclaimed products and their packaging
materials","Material Topic, Circular Economy"
GRI 302: Energy,302-1 Energy consumption within the organisation,"Material Topic, Climate & Energy"
,"302-2 Energy consumption outside of the
organisation",
,302-3 Energy intensity,"Material Topic, Climate & Energy"
,302-4 Reduction of energy consumption,"Material Topic, Climate & Energy"
,"302-5 Reductions in energy requirements of
products and services","Material Topic, Climate & Energy"
