GRI STANDARD,DISCLOSURE,LOCATION
GRI General Disclosures,,
GRI 2: General Disclosures,2-1 Organisational details,About Bamburi Cement PLC
,"2-2 Entities included in the organisation’s
sustainability reporting",Our Subsidiaries
,"2-3 Reporting period, frequency and contact point",Our Sustainability Framework
,2-4 Restatements of information,
,2-5 External Assurance,
,"2-6 Activities, value chain and other business
relationships",About Bamburi Cement PLC
,2-7 Employees,"Material Topic, People and Human Rights"
,2-8 Workers who are not employees,"Material Topic, People and Human Rights"
,2-9 Governance structure and composition,Corporate Governance
,"2-10 Nomination and selection of the highest
governance body",Corporate Governance
,2-11 Chair of the highest governance body,Corporate Governance
,"2-12 Role of the highest governance body in
overseeing the management of impacts",Corporate Governance
,"2-13 Delegation of responsibility for managing
impacts",Corporate Governance
,"2-14 Role of the highest governance body in
sustainability reporting",Corporate Governance
,2-15 Conflicts of interest,Corporate Governance
,2-16 Communication of critical concerns,"Code of Business Conduct (Integrity Line)
& Speak Up Directive"
,"2-17 Collective knowledge of the highest
governance body",Our Board
,"2-18 Evaluation of the performance of the highest
governance body",Corporate Governance
,2-19 Remuneration policies,Corporate Governance
,2-20 Process to determine remuneration,Corporate Governance
,2-21 Annual total compensation ratio,
,"2-22 Statement on sustainable development
strategy",Our Sustainability Framework
,2-23 Policy commitments,Our Policies
,2-24 Embedding policy commitments,Our Policies
,2-25 Processes to remediate negative impacts,Our Sustainability Pillars
,"2-26 Mechanisms for seeking advice and raising
concerns","Code of Business Conduct (Integrity Line)
& Speak Up Directive"
,2-27 Compliance with laws and regulations,Corporate Governance
,2-28 Membership associations,Stakeholder Groups
,2-29 Approach to stakeholder engagement,Stakeholder Engagement
,2-30 Collective bargaining agreements,Financial Review
