Director,Category,23 February,7 June,2 August,29 November
R Kemoli,Non-executive,√,√,√,x
C Kisire,Non-executive,√,√,√,√
S M’Mbijjewe,Non-executive,√,√,x,√
S Karanja,Non-executive,√,√,√,√
H Mansi,Executive,√,√,√,√
J Stull,Non-executive,x,x,n/a,n/a
D Brugier,Non-executive,√,√,√,√
D Njoroge,Executive,√,√,√,√
E Kironde,Executive,√,√,√,√
T Farrell,Non-executive,n/a,x¹,x¹,x¹
C Langreney,Non-executive,n/a,√,x,√
Alternate,Alternate to,23 Februray,7 June,2 August,29 November
F Olivares,T Farrell,n/a,√,√,√
¹ Represented by his alternate,,,,,
