Column,Column,2016,2015
ASSETS,Note,Kshs’ 000,Kshs’ 000
,"14 64,832,559",,"43,585,328"
,15,"4,766,260","4,915,357"
,16,"110,999","5,567"
,17,"36,306","36,306"
,18(b),"1,006,105","1,006,105"
,20,"422,597","100,278"
,,"71,174,826","49,648,941"
,19,"1,688,297","1,520,586"
,20,"8,407,859","10,565,001"
,11(c),-,"511,843"
,21 (a),"9,141,971","8,492,671"
,21 (b),"2,787,706","3,176,529"
,,"22,025,833","24,266,630"
,,"93,200,660","73,915,571"
Capital And Reserves,,,
Share capital,22,"363,466","363,466"
Share premium,,"512,289","512,289"
Retained earnings,,"63,092,109","54,787,041"
Revaluation reserve,,"10,022,711","10,022,712"
,,"73,990,575","65,685,508"
Non-Current Liabilities,,,
Deferred taxation,23,"5,221,715","5,623,522"
Syndicated Long Term Loan,25,"9,697,497",-
,,"14,919,212","5,623,522"
Current Liabilities,,,
Dividend payable,13,"300,000","309,400"
Trade and other payables,24,"2,726,808","1,983,422"
Due to related parties,27(c),"320,089","313,719"
Tax payable,11(c),"943,976",-
,,"4,290,873","2,606,541"
Total shareholder’s funds and liabilities,,"93,200,660","73,915,571"
