1,Barclays Bank of Kenya,1108981062,-,-
2,Commercial Bank of Africa (Kshs),6634970017,"148,176,252","16,064,863"
3,Commercial Bank of Africa (USD),6634970025,"863,758,253","89,837,893"
4,Standard Bank (Kshs),104023872500,"187,409,955","96,093,194"
5,Standard Bank (USD),8704023872500,"1,199,093,542","104,789,755"
6,CfC Stanbic (Kshs),100000534425,"114,950,725","(3,573,276)"
7,CfC Stanbic (USD),100000681347,"970,838,728","67,467,732"
8,Citibank (Kshs),104052002,"38,009,886","4,673,488"
9,Citibank (USD),104052029,"137,848,754","18,242,905"
10,Coop-Bank,1136028439200,"50,210,915","10,205,658"
11,Coop-Bank (USD),2120028439200,"1,448,713","498,884"
12,Equity Bank (Kshs),560291247368,"57,499,940","26,903,225"
13,Equity Bank (USD),560261355277,"28,525,355","490,274"
14,Kenya Commercial Bank,1108981061,"350,976","350,976"
15,Petty Cash,,"11,469,704","11,524,130"
,,,"3,809,591,698","443,569,702"
