Column,"2,823,700,449","3,190,296,454"
(c) Due to related party,,
Deferred Income from Ministry of Energy – LPG Project,"80,000,000","80,000,000"
(d) Key management compensation,,
CEO salaries and benefits,"13,009,574","10,669,880"
Key Management salaries and benefits,"237,130,333","262,655,881"
,"250,139,907","273,325,761"
Directors Expenses:,,
"- Fees & incentives - 9,240,000",-,"9,240,000"
- Board Retreats and general expenses,"1,719,719","4,243,777"
- Sitting /duty allowance,"16,326,666","9,260,000"
- Training expenses,"11,867,709","7,690,848"
- Travel expenses and Subsistence allowance,"16,716,462","13,113,726"
,"46,630,556","43,548,350"
