FY 2024,FY 2023
Kshs,Kshs
"3,694,119,811","3,705,870,291"
"1,125,135,718","1,261,351,866"
"31,150,649","25,958,873"
"973,179,260","1,175,351,838"
"75,704,933","508,428,162"
-,"(18,777,604)"
"122,683,149","80,885,390"
"168,311,559","67,657,733"
"85,736,968","83,286,320"
"177,382,460","159,063,403"
"16,455,482","12,212,718"
"138,060,739","53,704,227"
"45,199,224","44,368,736"
"199,838,130","91,062,337"
"2,062,574,948","885,575,021"
"128,815,994","91,632,684"
"1,988,311","14,377,224"
"22,737,934","12,226,480"
"3,869,796","3,027,732,573"
"11,379,310","7,737,931"
"3,495,785","6,360,000"
"3,720,960","1,705,492"
"11,740,000","7,336,000"
"2,866,996","9,540,563"
"16,228,045","5,794,591"
"9,122,376,161","11,320,442,848"
"756,591,221","84,506,786"
-,"629,234,723"
"756,591,221","713,741,509"
