Column,"Freehold
Property","Buildings and
Roads","Pipeline Pumps
& Tanks","Equipment
Furniture & Fittings",Helicopters,"Motor Vehicles
& Tractors","Capital Work-
in-Progress",Total
COST,Kshs,Kshs,Kshs,Kshs,Kshs,Kshs,Kshs,Kshs
1 July 2023,"1,920,242,500","7,423,271,479","73,734,210,839","19,304,962,134","183,275,000","1,271,892,264","1,831,929,792","105,669,784,007"
Additions(Acquisitions),-,-,"80,453,892","186,072,763",-,-,"3,991,039,224","4,257,565,879"
Transfers from WIP,-,"197,150,581","445,047,255","798,718,180",-,-,"(1,440,916,016)",-
Disposals,-,-,"(13,699,000)","(184,078,611)",-,"(27,290,900)",-,"(225,068,511)"
Adjustment ( Stalled projects provision reversed),-,-,-,-,-,-,"18,057,536","18,057,536"
Adjustment (impairment in value),-,-,-,-,-,-,"(93,762,468)","(93,762,468)"
30 JUNE 2024,"1,920,242,500","7,620,422,059","74,246,012,987","20,105,674,466","183,275,000","1,244,601,364","4,306,348,066","109,626,576,442"
DEPRECIATION,,,,,,,,
1 July 2023,-,"1,462,469,825","13,009,826,899","5,972,626,709","73,310,000","1,096,073,807",-,"21,614,307,239"
Charge for the year,-,"389,372,635","2,995,642,267","1,337,819,308","18,327,500","65,661,700",-,"4,806,823,409"
Eliminated on Disposal,-,-,"(1,311,092)","(91,327,089)",-,"(27,290,860)",-,"(119,929,041)"
30th JUNE 2024,-,"1,851,842,459","16,004,158,074","7,219,118,927","91,637,500","1,134,444,647",-,"26,301,201,607"
"NET BOOK VALUE:
30th JUNE 2024",,,,,,,,
,"1,920,242,500","5,768,579,600","58,241,854,913","12,886,555,539","91,637,500","110,156,717","4,306,348,066","83,325,374,835"
COST,,,,,,,,
1 July 2022 Restated,"1,920,242,500","7,757,466,982","73,682,563,173","18,583,799,009","183,275,000","1,212,613,350","373,526,780","104,013,535,384"
Additions(Acquisitions),-,-,"44,613,152","222,587,238",-,"42,077,586","2,371,411,193","2,680,689,169"
Transfers from WIP,-,"15,573,217","103,813,602","246,529,408",-,"38,663,793","(404,580,020)",-
Disposals,-,"(349,768,720)","(991,087,067)","(48,002,111)",-,"(21,462,466)",-,"(1,410,320,363)"
Impairment in value,-,-,"894,307,979",-,-,-,"(508,428,162)","385,879,817"
At 30 June 2023,"1,920,242,500","7,423,271,479","73,734,210,839","19,304,962,134","183,275,000","1,271,892,264","1,831,929,792","105,669,784,007"
DEPRECIATION,,,,,,,,
1 July 2022 Restated,-,"1,374,537,228","10,361,279,126","4,761,478,833","54,982,500","807,432,251",-,"17,359,709,938"
Charge for the year,-,"376,484,177","3,024,129,134","1,252,967,347","18,327,500","310,103,881",-,"4,982,012,039"
Eliminated on Disposal,-,"(288,551,580)","(375,581,361)","(41,819,472)",-,"(21,462,326)",-,"(727,414,738)"
At 30 June 2023,-,"1,462,469,825","13,009,826,899","5,972,626,709","73,310,000","1,096,073,807",-,"21,614,307,239"
"NET BOOK VALUE:
At 30 June 2023",,,,,,,,
,"1,920,242,500","5,960,801,654","60,724,383,940","13,332,335,425","109,965,000","175,818,457","1,831,929,792","84,055,476,767"
