Column,CEO salaries and benefits,Column,"10,669,880","12,159,656"
,Key Management salaries and benefits,,"262,655,881","210,912,970"
,,,"273,325,761","223,072,626"
Directors Expenses,Directors Expenses,,,
- Directors fees & incentives,,"9,240,000",,"9,240,000"
- Board Retreats and general expenses,,"4,243,777",,"10,917,176"
- Sitting /duty allowance,,"9,260,000",,"11,280,000"
- Training expenses,,"7,690,848",,"10,298,746"
- Travel expenses and Subsistence allowance,,"13,113,726",,"17,578,533"
,,,__________,_________
,,,"43,548,350","59,314,455"
,,,=========,========
