Operating profit before working capital changes,"12,111,419,048","15,644,242,840"
NOTES TO THE STATEMENT OF CASH FLOWS,2019,2018
,Kshs,Kshs
Increase in inventories,"33,927,822","(674,239,523"
Increase in trade and other receivables,"3,881,534,097","(2,836,237,168)"
(Decrease)/increase in trade and other payables,"479,730,017","(7,879,227,729)"
Increase/(Decrease) in Loan Adjustment,"347,070,889","(1,353,990,916)"
Movement in related party balances,-,-
Cash generated from operations,"16,853,681,873","2,900,547,504"
b) Analysis of cash and cash equivalents,,
Short term deposits (note 22(a),"9,059,660,261","4,815,214,935"
Bank and cash balances,"3,809,591,698","443,569,702"
,"12,869,251,959","5,258,784,637"
c) Analysis of non-cash transactions:,,
"Total additions to property, plant and equipment","1,479,742,118","10,022,090,856"
Capital work in progress items pending settlement as at 30 June,-,-
"Cash used in the purchase of property, plant and equipment as","1,479,742,118","10,022,090,856"
presented on the cash flow statement,,
