FY 2024,FY 2023
Kshs,Kshs
"35,369,329,508","30,857,218,143"
"(14,517,860,099)","(13,217,831,223)"
"20,851,469,409","17,639,386,919"
"888,457,329","883,056,483"
"832,123,996","977,868,372"
"(2,205,641,660)","1,111,419,800"
"(485,060,336)","2,972,344,656"
"9,122,376,161","11,320,442,848"
"756,591,221","84,506,786"
-,"629,234,723"
"479,197,436","970,109,062"
"10,358,164,818","13,004,293,419"
"10,008,244,255","7,607,438,155"
"3,140,994,281","3,108,010,211"
"6,867,249,974","4,499,427,944"
378,248
-,"1,327,713,990"
"6,867,249,974","5,827,141,934"
