Entity,"Country of
incorporation",Holding,No. of shares,Value
Roto Moulders Limited,Kenya,100%,"955,814","95,580,900"
Flame Tree Africa Limited,Kenya,100%,"138,749","158,502,683"
Happy Golden Foods Limited,Kenya,100%,"10,999,999","10,999,999"
"Rex Industries Limited (Formerly
known as Cherry Styles Limited)",Kenya,100%,"64,438",-
Jojo Plastics Limited,Kenya,100%,"40,000","20,000,000"
Chirag Africa Limited,Kenya,100%,"97,299","48,650,000"
Polyplay Limited,Kenya,100%,"60,199","80,000,000"
Roto Ltd,Rwanda,100%,99,"612,612"
Flame Tree Brands Ltd,Rwanda,100%,"2,458","14,457,228"
Build Mart Limited,Rwanda,100%,"4,999","3,191,552"
Rino Tanques LDA,Mozambique,100%,1,"10,296,555"
Flame Tree Mozambique LDA,Mozambique,100%,1,"71,734"
Roto Private Limited Company,Ethiopia,100%,"278,566","98,457,242"
Cirrus International FZC,UAE,100%,199,"4,710,887"
Total,,,,"545,531,392"
