Entity,"Country of
incorporation",Holding,No. of shares
Roto Moulders Limited,Kenya,100%,"955,814"
Flame Tree Africa Limited,Kenya,100%,"138,749"
Happy Golden Foods Limited,Kenya,100%,"10,999,999"
Cherry Styles Limited,Kenya,100%,"64,438"
Jojo Plastics Limited,Kenya,100%,"40,000"
Chirag Africa Limited,Kenya,100%,"97,299"
Polyplay Limited,Kenya,100%,"60,199"
Roto Ltd,Rwanda,100%,99
Flame Tree Brands Ltd,Rwanda,100%,"2,458"
Build Mart Limited,Rwanda,100%,"4,999"
Rino Tanques Limited,Mozambique,100%,1
Flame Tree Mozambique Limited,Mozambique,100%,1
Roto Private Limited Company,Ethiopia,100%,"278,566"
Cirrus International FZC,UAE,100%,199
