"Subsidiary
companies","Bank Debt
loans",< 1 year,">1 year <
2 years",">2 years <
3 years",> 3 years,Interco debt
,Shs,Shs,Shs,Shs,Shs,Shs
"Roto Moulders
Limited","321,456,863","199,948,258","48,603,442","24,301,721","48,603,442","(14,344,932)"
Polyplay Limited,"2,097,746",-,"1,398,497","699,249",-,"(2,010,450)"
Jojo Plastics Limited,"144,858,185","134,072,690","4,314,198","2,157,099","4,314,198","9,209,624"
"Happy Golden Foods
Limited","35,923",-,"35,923",-,-,"9,527,642"
"Flame Tree Africa
Limited","28,073,283","26,312,635","1,760,648",-,-,"99,588,156"
Chirag Africa Limited,"4,049,362","4,049,362",-,-,-,"114,248,365"
"Rex Industries Limited
(Formerly Cherry
Styles Limited)",-,-,-,-,-,"16,576,779"
Rino Tanques Lda,-,-,-,-,-,-
"Flame Tree
Mozambique Lda",-,-,-,-,-,"27,707,524"
Roto PLC (Ethiopia),"78,578,746","15,715,749","15,715,749","15,715,749","31,431,499","14,823,551"
Build Mart Limited,-,-,-,-,-,"961,590"
"Flame Tree Brands
Limited (Rwanda)",-,-,-,-,-,"13,034,787"
Roto Limited (Rwanda),"18,162,670","18,162,670",-,-,-,"3,345,359"
"Cirrus International
FZC",-,-,-,-,-,"(12,793,727)"
"The parent company
and its branches","Bank Debt
loans",< 1 year,">1 year <
2 years",">2 years <
3 years",> 3 years,Interco debt
,Shs,Shs,Shs,Shs,Shs,Shs
"FTG Holdings
Mauritius, parent
company",-,-,-,-,-,"583,757,004"
"FTG Holdings
Mauritius, Kenya
branch","2,781,852",-,"2,781,852",-,-,-
