Key Financial Ratios,Column,Column
,2018,2017
EBITDA,"178,641,789","231,736,473"
EBIT,"107,318,712","102,398,069"
Net Debt,"364,864,712","336,180,333"
Net Debt/EBITDA,2.0,1.5
Total Net Debt/EBITDA,3.4,3.3
Return on Equity (Ebitda),22%,32%
Return on Equity (Ebit),13%,14%
Revenue growth,2.6%,-5%
Gross margin,31%,33%
EBIT margin,4.3%,4.2%
EBITDA margin,7.2%,9.6%
EBIT/Interest expense,1.8,2.1
EBITDA/Interest expense,3.02,4.70
Total Net Debt/Total Equity,0.45,0.46
Total comprenhensive income for the year,"162,866,207","10,144,470"
