Holder Names,Shares,% Holding
"1. Bangera Bangera, Heril Colbert","149,577,242",84.01
"2. Mukumbu Mukumbu, Japheth Mulinge","2,859,600",1.61
3. Stanbic Nominees Ltd A/C NR1030823,"2,498,734",1.40
"4. Shah Shah, Ramesh Chandra G.","1,368,933",0.77
"5. Dawid Dawid, Dominikus Johannes","1,295,000",0.73
6. Kenya Commercial Bank Nominees Limited A/C 923A,"1,175,588",0.66
"7. Mwaniki Mwaniki, Njuki","1,173,800",0.66
8. Stanbic Nominees Limited A/C R88601,"1,020,253",0.57
"9. Gichuki Gichuki, Simon Gachira","972,730",0.55
10. SBM Bank Nominees Ltd A/C 0042,"958,210",0.54
11. Kestrel Capital Nominees Limited A/C 009,"725,960",0.41
12. Standard Chartered Nominees A/C 9675C,"684,411",0.38
13. NIC Custodial Services A/C 020,"658,393",0.37
14. Kenya Commercial Bank Nominees Limited A/C 900A,"541,051",0.30
15. Coop Bank Custody A/C 3005B,"519,121",0.29
"16. Burbidge Burbidge, Edward Lyndon Lovell","424,930",0.24
"17. Gacheru Gacheru, Charles Kiai","332,523",0.19
18. NIC Custodial Services A/C 008,"323,837",0.18
19. Stanbic Nominees Ltd A/C R35101,"273,628",0.15
"20. Gadani Gadani, Rakesh Prakash","231,100",0.13
