Training Type/Name,Trainers,Venue
Kaizen Trainning,George Akule,All companies
"Introduction
Program and
Art of Sales",Sujomon Jose,"Rino
Tanques
Ldt"
"Motivation and Positive
Attitude Training","Balakrishna
Hegde",Flame Tree Africa Ltd
Innovation Training,Shukla B,Chirag Africa Ltd
First Aid Training,George Akule,Chirag Africa Ltd
Logical thinking Training,Shukla B,Chirag Africa Ltd
"Zoom
Cloud
Meeting",Raymond Bett,All companies
Netsuite Training,Aravina Khilnani,Roto PLC
Quality Control,Rewat Kumar,Chirag Africa Ltd
Time Management,Rejith Pillai,Chirag Africa Ltd
Mail Merge,Scholasticah Matutu,Roto Moulders Ltd
Analytical Thinking,Shukla B,Roto Moulders Ltd
Critical Thinking,"Bhalachandra
Shukla",Chirag Africa Ltd
NM ISO 9001: 2015,Haider Julaya,Rino Tanques Lda via Zoom
"Driver’s
Refresher
Training","Martin Osaka, Daniel Mbai:
Trainers from SimbaColt","Roto Moulders Drivers on SimbaColt
Colt
Offices"
