"Year ended 30 June
2024:",Column,Column,Column,Column,Column,Column,Column
Joseph M Choge,"43,001",-,-,-,"13,255",-,"56,256"
Isabella Ochola Wilson,-,"3,378",-,-,-,-,"3,378"
Alan McKittrick,-,"2,778",-,-,-,-,"2,778"
Andrew S Ndegwa**,-,"2,706",-,-,-,-,"2,706"
Patrick Obath,-,"2,808",-,-,-,-,"2,808"
Jinaro Kipkemoi Kibet,-,"2,202",-,-,-,-,"2,202"
Vitalis Ondeke Ojode,-,"2,160",-,-,-,-,"2,160"
Shilpa Haria,-,"2,388",-,-,-,-,"2,388"
Maureen W Miring’u,-,"2,316",-,-,-,-,"2,316"
Wangari Murugu,-,"2,706",-,-,-,-,"2,706"
Patrick Mugambi**,-,384,-,-,-,-,384
,"43,001","23,826",-,-,"13,255",-,"80,082"
