New and Amendments to the standards,"Effective for annual periods
beginning on or after"
"IFRS 9, Financial Instruments",1 January 2015
"IFRS 10, Consolidated Financial Statements",1 January 2013
"IFRS 11, Joint Arrangements",1 January 2013
"IFRS 12, Disclosure of Interests in Other Entities",1 January 2013
"IFRS 13, Fair Value Measurement",1 January 2013
"IAS 27 (as revised in 2011), Separate Financial Statements",1 January 2013
"IAS 28 (as revised in 2011), Investments in Associates and Joint Venture",1 January 2013
"IAS 19 (as revised in 2011), Employee Benefits",1 January 2013
"Amendments to IAS 32, Offsetting Financial Assets and Financial Liabilities",1 January 2014
"Amendments to IFRSs, Annual Improvements to IFRSs 2009-2011 Cycle except for the
amendment to IAS 11",1 January 2013
"Amendments to IFRS 7, Disclosures – Offsetting Financial Assets
and Financial Liabilities",1 January 2013
"Amendments to IFRS 9 and IFRS 7, Mandatory Effective Date of
IFRS 9 and Transition Disclosures",1 January 2015
"IFRIC 20, Stripping Costs in the Production Phase of a Surface Mine",1 January 2013
IFRIC 21 Levies,1 January 2014
