Column,Individuals,"Small and medium-
size businesses",Corporates,"Banks and financial
institutions","Sovereigns and
institutions"
"A safe place to save,
invest and manage funds
›› Accepting customers’
and clients’ deposits,
and raising debt
›› Facilitating payments
and investments
›› Investment
management products
and advice
›› Managing shareholder
funds",Current accounts and overdrafts,,,,
,"Savings, deposits and investment products",,,,
,Mobile and digital payments,,,,
,Stockbroking and trading,,Access to international financial markets,,
,,"Cash management, payment systems and international trade services",,,
"Provide funds for
purchases and growth
Extending credit, taking
into account customers’
and clients’ credit
standing and our risk
appetite","Residential home
loans, vehicle and
asset finance,
personal loans and
credit cards",Commercial property finance and loans,,,
,,"Asset and lease finance, trade and supplier finance
and working capital solutions",,,
,,,Access to international capital markets,,
,,,Large corporate/inter-bank lending,,
"Manage business and
financial risks
Solutions to manage risks
such as interest rate and
foreign exchange",,Foreign exchange rate hedging,,,
,Fixed-rate loans,,,,
,,,Inflation and interest rate hedging,,
"Provide financial and
business support
Individual and business
advice, investment
research and advisory on
large corporate deals","Wealth and private
banking including
investment advice",Relationship managers and support,,,
,,"Seminars and
start-up support","International investment research. Advice on large corporate
deals as well as mergers and acquisitions",,
