Category,Classification,Financial statement caption,Class
Financial assets,"Fair value through profit
or loss","Financial assets at fair value through profit or
loss",Debt securities
,,,Derivative assets
,Amortised cost,Loans and advances to banks,
,,Due from group companies,
,,Loans and advances to customers,
,,Other assets,
,,Cash and balances with Central Bank of Kenya,
,"Fair value through other
comprehensive income","Financial assets at fair value through other
comprehensive income","Investment securities
designated at FVOCI"
Financial liabilities,"Financial liabilities at
amortised cost",Deposits from banks,
,,Due to Central Bank of Kenya,
,,Deposits from customers,
,,Borrowings,
,,Due to group companies,
,,Other liabilities and accrued expense,
,"Fair value through profit
or loss","Financial liabilities at fair value through profit or
loss",Derivative liabilities
"Off-balance sheet
financial instruments",Loan commitments,,
,"Guarantees, acceptances and other financial liabilities",,
