item,2,4,1,3,0,5,6,7,8,9,10,11,12
None None,2019 Shs’ million,,,,,,,,,,,,
Net interest Income 20 411 22 334 21 801 21 992 9 051 9 349 8 457 9 702 29 462 31 683 30 258 31 694 15 622 16 904 16 782 17 178,23 179,,,,,,,,,,,,
Non Interest revenue None,10 588,,,,,,,,,,,,
Total Revenue None,33 768,,,,,,,,,,,,
Operating expenses None,17 285,,,,,,,,,,,,
Pre provision profit None,16 482,,,,,,,,,,,,
Impairment on loans and advances None,4 201,,,,,,,,,,,,
Total Assets 240 877 259 718 271 572 325 313 145 838 168 510 168 397 177 354,374 904,,,,,,,,,,,,
Net Loans and advances to customers None,194 895,,,,,,,,,,,,
Liability 201 161 217 330 227 474 281 107 165 083 178 180 185 977 207 408 39 716 42 388 44 098 44 207 240 877 259 718 271 572 325 313 88 95 91 86,329 715,,,,,,,,,,,,
Deposits due to customers None,237 739,,,,,,,,,,,,
Total Equity None,45 189,,,,,,,,,,,,
Total equity and liabilities None,374 904,,,,,,,,,,,,
Net advances to deposits (%) None,82,,,,,,,,,,,,
Exceptional items,,,,,,,,,,,,,
Profit after exceptional items,,,,,,,,,,,,,
Income tax expense,,,,,,,,,,,,,
Profit after taxation Normalised profit after taxation,,,,,,,,,,,,,
7.51,7.51,9.51,,,,,,,,,,,
None,,,2019 Shs’ million,,,,,,,,,,
Net interest income,,,17 634,,,,,,,,,,
Non-interest income,,,6 485,,,,,,,,,,
Impairment,,,3 260,,,,,,,,,,
Customer loans,,,119 737,,,,,,,,,,
Customer deposits,,,186 239,,,,,,,,,,
Net foreign exchange income,,,2 563,,,,,,,,,,
Fixed income,,,496,,,,,,,,,,
Brokerage,,,56,,,,,,,,,,
Key Focus Sectors:,,,,,,,,,,,,,
� Retail � Business Banking � Corporate � Financial Institutional Sales � Foreign Exchange Trading � Fixed Income Trading � Risk Management Products � Brokerage: Equities and Bonds,,,,,,,,,,,,,
Focus Customer Segments:,,,,,,,,,,,,,
