Column,BBK Financial Performance,Column,Variance
,2018 H1,2017 H1,% YoY
Income Statement,,,
Net Interest Income,"10,967","10,544",▲ 4%
Non Interest Income,"4,697","4,394",▲ 7%
Total Revenue,"15,663","14,939",▲ 5%
Impairment,"(1,717)","(1,353)",▲ 27%
"(*)
Total Costs","(8,661)","(8,433)",▲ 3%
Profit Before Tax,"5,286","5,152",▲ 3%
Taxation,"(1,524)","(1,610)",▼ (5%)
Profit After Tax,"3,762","3,543",▲ 6%
Profit After Tax (Normalised),"3,762","3,543",▲ 6%
Balance Sheet,,,
Net Customer Loans,"176,115","163,783",▲ 8%
Total Customer Deposits,"216,809","188,652",▲ 15%
Government Securities Investments,"70,343","52,649",▲ 34%
Trading Book,"22,986","4,820",▲ 377%
