item,2,3,5,1
"1.5 Total interest income 8,768,650 40,808,045 2.0 Interest expenses 2.1 Customer deposits 1,637,143 7,114,100 2.2 Deposits and placements with banking institutions 263,495 1,448,752 2.3 Other interest expenses 27,790 113,871 None None","12,132,422 2,167,288 630,876 30,018","8,781,211 40,853,101 1,608,271 6,975,120 263,495 1,448,752 27,790 113,871","12,143,472 2,126,823 630,876 30,018",
"2.4 Total interest expenses 1,928,428 8,676,723 3.0 Net interest income 6,840,222 32,131,322 4.0 Non - interest income 4.1 Fees and commissions income on loans & advances 314,369 1,382,234 4.2 Other fees and commissions 834,061 3,524,336 4.3 Foreign exchange trading income 1,225,291 6,646,031 4.4 Dividend income - - 4.5 Other income 331,445 871,842 None None","2,828,182 9,304,240 329,731 1,074,349 2,203,917 - 404,554","1,899,556 8,537,743 6,881,655 32,315,358 314,369 1,382,234 1,150,900 4,790,442 1,225,290 6,646,029 - - 327,703 853,875","2,787,717 9,355,755 329,731 1,571,252 2,203,915 - 400,077",
"4.6 Total non-interest income 2,705,166 12,424,443 None None","4,012,551","3,018,262 13,672,580","4,504,975",
"5.0 Total operating income 9,545,388 44,555,765 None None","13,316,791","9,899,917 45,987,938","13,860,730",
"6.0 Operating expenses 6.1 Loan loss provision 1,181,037 6,401,737 6.2 Staff costs 2,200,937 10,226,482 6.3 Directors emoluments 47,271 178,713 6.4 Rental charge 29,099 113,116 6.5 Depreciation on property and equipment 175,798 755,924 6.6 Amortisation charges 28,723 116,220 6.7 Other operating expenses 1,866,903 6,931,142 None None","2,400,869 2,626,165 29,205 33,938 209,554 28,544 2,031,727","1,181,000 6,479,523 2,256,187 10,487,747 49,322 187,396 29,099 113,252 175,815 756,025 31,512 127,377 1,878,039 6,987,304","2,400,944 2,681,124 31,510 34,073 209,626 31,333 2,050,194",
"6.8 Total operating expenses 5,529,768 24,723,334 7.0 Profit before tax and exceptional items 4,015,620 19,832,431 8.0 Exceptional items - - None None","7,360,002 5,956,789 -","5,600,974 25,138,624 4,298,943 20,849,314 - -","7,438,804 6,421,926 -",
"9.0 Profit after exceptional items 4,015,620 19,832,431 10 Current tax (1,223,579) (6,255,473) 11 Deferred tax (36,535) 290,928 None None","5,956,789 (1,929,381) 100,516","4,298,943 20,849,314 (1,313,904) (6,576,739) (31,470) 314,591","6,421,926 (2,072,159) 102,720",
"12 Profit after tax and exceptional items 2,755,506 13,867,886 None None","4,127,924","2,953,569 14,587,166","4,452,487",
"13 Other comprehensive income 13.1 Gains/(losses) from translating the financial statements of foreign operations - - 13.2 Fair value changes in FVOCI financial assets (551,663) (2,897,985) 13.3 Revaluation surplus on property,plant and equipment - - 13.4 Share of other comprehensive income of associates - - 13.5 Income tax relating to components of other comprehensive income 165,499 869,396 None None","- (73,140) - - 21,942","- - (559,131) (2,916,370) - - - - 167,739 874,911","- (87,575) - - 26,272",
"14 Other comprehensive income for the year net of tax (386,164) (2,028,589) None None","(51,198)","(391,392) (2,041,459)","(61,303)",
"15 Total comprehensive income for the year 2,369,342 11,839,297 None None","4,076,726","2,562,177 12,545,707","4,391,184",
Earnings per share (Shs) 0.51 2.55 Dividends per share (Shs) - 1.35 None None,0.76 -,0.54 2.69 - 1.35,0.82 -,
"March December 2022 2022 Shs '000 Shs '000 Unaudited Audited III Other disclosures 1) Non-performing loans and advances a) Gross non-performing loans and advances 19,498,844 22,519,244 b) Less: Interest in suspense 2,364,684 4,794,156",,,,"March 2023 Shs '000 Unaudited 31,142,698 4,521,938"
"c) Total non performing loans and advances 17,134,160 17,725,088 d) Less: loan loss provisions 12,489,879 13,344,496 e) Net non performing loans(c-d) 4,644,281 4,380,592 f) Discounted value of securities 3,538,558 3,257,843",,,,"26,620,760 15,368,861 11,251,899 8,891,882"
"g) Net NPLs (excess)/exposure (e-f) 1,105,723 1,122,749",,,,"2,360,017"
"2) Insider loans and advances a) Directors ,shareholders and associates 34,658 33,034 b) Employees 9,848,419 10,258,378",,,,"33,243 10,226,224"
"c) Total insider loans and advances 9,883,077 10,291,412 3) Off balance sheet items a) Letters of credit, guarantees, acceptances 47,712,808 57,644,594 b) Forwards, swaps and options 93,085,296 141,534,025 c) Other contingent liabilities - -",,,,"10,259,467 49,483,405 158,956,906 -"
"d) Total Contingent liabilities 140,798,104 199,178,619 4) Capital strength a) Core capital 49,248,127 55,606,048 b) Minimum statutory capital 1,000,000 1,000,000 c) Excess/(deficiency) 48,248,127 54,606,048 d) Supplementary capital 8,644,466 15,505,695",,,,"208,440,311 57,781,106 1,000,000 56,781,106 16,646,233"
"e) Total capital 57,892,593 71,111,743 f) Total risk weighted assets 339,900,958 382,149,724 g) Core capital/total deposit liabilities 18.4% 18.4% h) Minimum statutory ratio 8.0% 8.0% i) Excess/(deficiency) 10.4% 10.4% j) Core capital/total risk weighted assets 14.5% 14.6% k) Minimum statutory ratio 10.5% 10.5% l) Excess/(deficiency) 4.0% 4.1% m) Total capital/total risk weighted assets 17.0% 18.6% n) Minimum statutory ratio 14.5% 14.5% o) Excess/(deficiency) 2.5% 4.1% p) Adjusted core capital/total deposit liabilities* 18.5% 18.4% q) Adjusted core capital/total risk weighted assets* 14.6% 14.6% r) Adjusted total capital/total risk weighted assets* 17.1% 18.6% 5 Liquidity a) Liquidity ratio 36.7% 33.6% b) Minimum statutory ratio 20.0% 20.0% c) Excess/(deficiency) 16.7% 13.6%",,,,"74,427,339 410,913,245 18.6% 8.0% 10.6% 14.1% 10.5% 3.6% 18.1% 14.5% 3.6% 18.7% 14.2% 18.2% 28.6% 20.0% 8.6%"
