item,2,3,5,1
"Bank March December 2022 2022 Shs '000 Shs '000 Unaudited Audited I Statement of financial position A Assets 1 Cash balances (both local and foreign) 6,893,855 11,464,397 2 Balances due from Central Bank of Kenya 12,715,668 12,746,777 3 Kenya Government and other securities held for dealing purposes 48,920,541 42,905,378 4 Financial assets at fair value through profit and loss - - 5 Investment securities: - - a) Held to maturity: - - a. Kenya Government securities - - b. Other securities - - b) Fair value through other comprehensive income (FVOCI) 87,419,688 90,192,869 a. Kenya Government securities 87,419,688 90,192,869 b. Other securities - - 6 Deposits and balances due from local banking institutions - 843,225 7 Deposits and balances due from banking institutions abroad 6,528,744 4,113,673 8 Tax recoverable - 537,355 9 Loans and advances to customers(net) 242,672,126 283,578,543 10 Balances due from banking institutions in the group 14,327,127 8,726,287 11 Investment in associates - - 12 Investment in subsidiary companies 462,751 462,751 13 Investment in joint ventures - - 14 Investment properties - - 15 Property and equipment 2,347,411 2,674,477 16 Prepaid operating rental leases 33,974 32,116 17 Intangible assets 444,612 461,929 18 Deferred tax 4,806,292 5,834,288 19 Retirement benefit asset - - 20 Other assets 11,145,595 12,716,483 Bank Group",,,,
None None None,"March 2023 Shs '000 Unaudited 13,151,558 13,856,697 47,237,832 - - - - - 86,651,020 86,651,020 - 1,259,224 4,643,518 - 309,973,217 13,021,919 - 462,751 - - 2,516,021 31,855 467,517 5,956,746 12,370 15,575,575","March December 2022 2022 Shs '000 Shs '000 Unaud ited Audited 6,893,855 11,464,397 12,715,668 12,746,777 48,920,541 42,905,378 - - - - - - - - - - 87,810,716 90,584,670 87,810,716 90,584,670 - - - 843,225 6,528,744 4,113,673 - 747,970 242,672,126 283,578,543 14,327,127 8,726,287 - - - - - - - - 2,347,487 2,675,951 33,974 32,116 508,327 515,795 4,863,381 5,924,099 - - 10,877,694 12,375,056","March 2023 Shs '000 Unaudited 13,151,558 13,856,697 47,237,832 - - - - - 87,026,795 87,026,795 - 1,259,224 4,643,518 - 309,973,217 13,021,919 - - - - 2,517,424 31,855 518,594 6,053,091 12,370 15,299,990",
"21 Total assets 438,718,384 477,290,548 None None","514,817,820","438,499,640 477,233,937","514,604,084",
"B Liabilities 22 Balances due to Central Bank of Kenya - - 23 Customers' deposits 271,759,616 306,662,590 24 Deposits and balances due to banking institutions (local) 4,010,800 8,375,258 25 Deposits and balances due to banking institutions (foreign) 274,416 642,615 26 Other money market deposits - - 27 Borrowed funds - 4,266,919 28 Balances due to banking institutions in the group 82,112,790 76,303,685 29 Tax payable 3,973,125 - 30 Dividends payable - - 31 Deferred tax liability - - 32 Retirement benefit liability 234,706 121,000 33 Other liabilities 19,491,042 20,107,180 None None","- 314,010,528 9,099,706 2,264,509 - 4,226,962 96,362,152 1,392,026 - - - 22,597,096","- - 269,537,302 303,751,003 4,010,800 8,375,258 274,416 642,615 - - - 4,266,919 82,112,762 76,303,685 3,834,895 - - - - - 234,706 121,000 19,344,722 20,160,439","- 310,831,231 9,099,706 2,264,509 - 4,226,962 96,362,152 1,268,419 - - - 22,570,096",
"34 Total liabilities 381,856,495 416,479,247 None None","449,952,979","379,349,603 413,620,919","446,623,075",
"C Shareholders' funds 35 Paid up/assigned capital 2,715,768 2,715,768 36 Share premium/(discount) - - 37 Revaluation reserves 108,403 (1,536,412) 38 Retained earnings/(accumulated losses) 47,910,112 53,163,772 39 Statutory loan loss reserve - - 40 Other reserves 152,916 221,907 41 Proposed dividends 5,974,690 6,246,266 42 Capital grants - - None None","2,715,768 - (1,588,960) 57,291,697 - 200,070 6,246,266 -","2,715,768 2,715,768 - - 101,086 (1,551,380) 50,205,577 55,980,457 - - 152,916 221,907 5,974,690 6,246,266 - -","2,715,768 - (1,614,041) 60,432,946 - 200,070 6,246,266 -",
"43 Total shareholders' funds 56,861,889 60,811,301 None None","64,864,841","59,150,037 63,613,018","67,981,009",
44 Minority interest - None None,,- -,-,
"45 Total liabilities and total shareholders funds 438,718,384 477,290,548 None None","514,817,820","438,499,640 477,233,937","514,604,084",
"II Statement of comprehensive income 1.0 Interest income 1.1 Loans and advances to customers 6,325,719 30,681,559 1.2 Government securities 2,201,131 9,375,735 1.3 Deposits and placements with banking institutions 241,800 750,751 1.4 Other interest income - - None None","9,576,767 2,406,459 149,196 -","6,325,719 30,681,559 2,213,692 9,420,791 241,800 750,751 - -","9,576,767 2,417,509 149,196 -",
