Audited,Audited
2022,2021
KShs ’000,KShs ’000
"1,521,145","1,437,956"
"5,884","2,866"
"2,202,932","2,121,114"
"27,435","28,169"
"498,887","484,218"
"26,842","25,497"
"(774,507)","(819,074)"
"3,508,619","3,280,746"
"(247,154)","(191,642)"
"(60,523)","(4,566)"
-,"(19,249)"
"(47,128)","(4,043)"
"(3,424,759)","(2,381,065)"
-,"(45,200)"
"2,202,932","1,118,234"
-,"63,735"
-,"(503,419)"
-,"(114,938)"
"112,241","83,297"
"(1,464,391)","(1,998,856)"
"(279,979)","(559,959)"
"1,764,249","721,931"
"11,481,809","10,759,878"
"13,246,057","11,481,809"
