GroUP,Column,CoMPaNY,Column
2017,2016,2017,2016
Ksh. ’000,Ksh. ’000,Ksh. ’000,Ksh. ’000
"13,196,958","11,762,650","12,365,408","11,223,537"
"1,630,338","1,481,941","1,626,735","1,476,800"
"14,827,296","13,244,591","13,992,143","12,700,337"
"687,963","597,706","687,963","597,706"
"1,237,396","969,865","1,237,396","969,865"
"258,669","209,228","258,669","209,228"
"92,702","107,002","92,702","107,002"
"54,896","68,550","54,896","68,550"
"252,272","493,531","236,818","490,738"
"49,821","53,272","49,821","53,272"
-,"47,461",-,"47,497"
"10,402",-,"10,402",-
"16,411","14,356","16,200","14,224"
"2,660,532","2,560,971","2,644,867","2,558,082"
"143,705","171,730","143,705","171,730"
"258,473","272,240","258,473","272,240"
"19,364","20,077","19,364","20,077"
"52,696","48,361","49,468","48,361"
"10,407","5,919","10,407","5,919"
"484,645","518,327","481,417","518,327"
"3,145,177","3,079,298","3,126,284","3,076,409"
