GroUP,Column,CoMPaNY,Column
2017,2016,2017,2016
Ksh. ’000,Ksh. ’000,Ksh. ’000,Ksh. ’000
"13,521,865","10,727,624","13,521,865","10,727,624"
"482,696","487,923","482,696","487,923"
"1,040,975","993,652","1,040,975","993,652"
"2,107,855","2,066,252","2,107,855","2,066,252"
"202,231","202,231","202,231","202,231"
"4,315,378","3,582,067","3,988,095","3,351,617"
"227,204","348,546","153,247","305,933"
-,-,"63,438","42,624"
"3,408,386","4,196,935","3,092,508","3,951,416"
"306,956","379,597","184,420","276,883"
"658,425","707,417","658,423","707,417"
"248,628","179,697","228,918","178,653"
"26,520,599","23,887,534","25,724,671","23,292,225"
"670,487","560,557","480,676","414,107"
"643,380","476,333","612,005","466,828"
"1,313,867","1,036,890","1,092,681","880,935"
"2,392,423","2,177,401","2,392,423","2,177,401"
"5,737,138","5,530,550","5,319,405","5,441,537"
"8,129,561","7,707,951","7,711,828","7,618,938"
