"Due on
demand
Ksh. ’000","Due after
1 year
Ksh. ’000","Total
Ksh. ’000"
,"-
-
-
-",
"2,392,423",,"2,392,423"
"5,737,138",,"5,737,138"
"643,380",,"643,380"
"670,487",,"670,487"
"9,443,428",-,"9,443,428"
,"-
-
-
-",
"2,177,401",,"2,177,401"
"5,530,550",,"5,530,550"
"476,333",,"476,333"
"560,557",,"560,557"
"8,744,841",-,"8,744,841"
,"-
-
-
-",
"2,392,423",,"2,392,423"
"5,319,405",,"5,319,405"
"612,005",,"612,005"
"480,676",,"480,676"
"8,804,509",-,"8,804,509"
,"-
-
-
-",
"2,177,401",,"2,177,401"
"5,441,537",,"5,441,537"
"466,828",,"466,828"
"414,107",,"414,107"
"8,499,873",-,"8,499,873"
