2017,2016
Ksh. ’000,Ksh. ’000
"1,581,939","350,782"
"59,530","59,489"
"1,226,804","1,202,931"
"16,200","14,224"
"286,284","539,099"
"54,748","62,325"
"(1,248,194)","(671,565)"
"1,977,311","1,557,285"
"(46,923)","(64,487)"
"(10,916)","(44,462)"
765,-
-,"47,461"
"15,500",
"(252,620)","(245,379)"
"(5,401,776)","(2,898,870)"
"2,876,600","396,337"
-,"(355,602)"
"273,605","307,484"
"5,925","5,925"
-,"(183,596)"
"111,489","129,752"
-,"(32,448)"
"(2,428,351)","(2,937,885)"
"(559,959)","(524,962)"
"(1,010,999)","(1,905,562)"
"4,257,349","6,163,534"
(595),(623)
"3,245,755","4,257,349"
