GROUP,Column,Column,Column
YEAR 2020,Gross,Reinsurance,Net
,KShs’000,KShs’000,KShs’000
As at 1 January 2020,"6,601,842","(396,659)","6,205,183"
Movement in claims reserves,"3,206,618","(70,899)","3,135,719"
Total Claims reserves,"9,808,460","(467,558)","9,340,902"
As at 1 January 2019,"6,785,111","(782,165)","6,002,946"
Movement in claims reserves,"(183,269)","385,506","202,237"
Total short-term contract liabilities as at 31 December 2019,"6,601,842","(396,659)","6,205,183"
COMPANY,,,
YEAR 2020,,,
As at 1 Jan 2020,"6,058,529","(351,638)","5,706,891"
Movement in claims reserves,"3,050,392","(110,760)","2,939,632"
Total Claims reserves,"9,108,921","(462,398)","8,646,523"
As at 1 Jan 2019,"6,245,803","(691,963)","5,553,840"
Movement in claims reserves,"(187,274)","340,325","153,051"
Total short-term contract liabilities as at 31 December 2019,"6,058,529","(351,638)","5,706,891"
