Major Shareholders as at 31 December 2021,Column,Column
Cabinet secretary to The National Treasury of Kenya,"1,680,000,000",60
Investments & Mortgages Nominees Ltd A/C 028950,"65,553,300",2.34
The Jubilee Insurance Company of Kenya Limited,"55,453,860",1.98
Kestrel Capital Nominees Ltd a/c Krohne fund,"45,652,300",1.63
Standard Chartered Kenya Nominees Ltd A/C KE000954,"43,500,000",1.55
SSB Bene Universal Investment Gesellschart FD 4942,"36,500,000",1.30
Kenya Commercial Bank Nominees Limited A/C 915b,"27,671,244",0.99
"Kerai, Harji Mavji; Mavji, Ramila Harji","27,500,000",0.98
Stanbic Nominees Limited R6631578,"27,187,772",0.97
Standard Chartered Nominees Non- resd. A/C KE10085,"24,000,000",0.86
Others,"766,777,796",27.4
,"2,799,796,272",100.00
