GroUP,Column,CoMPaNY,Column
2017,2016,2017,2016
Ksh. ‘000,Ksh. ‘000,Ksh. ‘000,Ksh. ‘000
"1,361,922","1,250,162","1,374,906","1,245,021"
"133,038","105,450","116,451","105,450"
"680,158","587,799","631,296","565,891"
"3,719,112","3.526,401","3,319,925","3,271,475"
"574,835","518,350","547,041","500,098"
"590,957","806,958","531,185","757,991"
"830,770","737,703","766,910","683,260"
"638,270","612,610","574,749","561,432"
"3,367,973","3,339,849","3,367,973","3,339,849"
"1,782,541","1,201,478","1,730,962","1,174,483"
"13,679,576","12,686,760","12,961,398","12,204,950"
