Share Price,fy 2008/09,fy 2007/08
High for the year,30.00,34.75
Low for the year,8.50,23.25
31st March,10.25,25.00
Shares traded,,
Number of shares,"39,774,235","69,940,604"
Value of shares traded (Kshs millions),863,"1,945"
Turnover in shares traded as a percentage of issued share capital,7%,13%
Number of shares in issue,"549,951,830","549,951,830"
End of period,"549,951,830","549,951,830"
Weighted average,"549,951,830","549,951,830"
Market Capitalisation as at 31st March (Kshs millions),"5,637","13,749"
