no.,name,role,fy 2012/13,Column,fy 2011/12,Column
,,,"no of
shares","%
Holding","no of
shares","%
Holding"
1,James ngatia Muguiyi,Ceo,"346,096",0.05%,"346,096",0.05%
2,James Mwirigi Mworia,Chairman,"324,294",0.05%,"124,294",0.02%
3,"industrial and Commercial Development
Corporation (iCDC)",Director,"152,847,897",22.97%,"156,457,997",23.51%
4,Peter Mwandani Kimurwa,"Alternate to
iCDC",-,-,-,-
5,Permanent secretary Ministry of trade (Ps),Director,-,-,-,-
6,Margaret Martha Byama,"Alternate to
the Ps",-,-,-,-
7,Christopher John Kirubi,Director,"122,984,106",18.48%,"115,507,826",17.36%
8,Henry Chege njoroge,Director,"110,028",0.02%,"110,028",0.02%
9,imtiaz Khan,Director,-,-,,-
10,Robert Kenneth Bunyi,Director,242,0.00%,242,-
11,Maina Mwangi,Director,-,-,-,-
,shares held by Directors,,"276,612,663",41.57%,"272,546,483",40.96%
,other shareholders,,"388,829,051",58.43%,"392,895,231",59.04%
,total issued shares,,"665,441,714",100.00%,"665,441,714",100.00%
