Vipingo Development Limited,100%,"9,999","7,646",Net Asset Value
"Two Rivers Development
Limited",58.30%,"7,632","7,632",Net Asset Value
"Centum Development
Limited1",100%,"7,505","7,464",Net Asset Value
Vipingo Estates Limited,100%,"1,240","1,012",Net Asset Value
Two Rivers Lifestyle Centre,29.15%,"5,149","4,909",Net Asset Value
Uhuru Heights,100%,855,855,Net Asset Value
Rasimu Limited,100%,742,737,Net Asset Value
Athena Properties Limited,100%,209,150,Net Asset Value
Broll,30%,-,37,Net Asset Value
Others,,104,81,
Total,,"33,435","30,523",
