Kes. M,HY2016,HY2015,Variance
Dividend Income 327 489 -33%,,,
"Interest Income 1,350 83 1527%",,,
Fund Management Income 267 337 -21%,,,
"Realized Gains 1,734 1,017 71%",,,
Fees & Commissions 669 - 100%,,,
Other Income 249 8 3013%,,,
Unrealized Gains on Bonds (17) (37) -54%,,,
"Sale of Goods – Beverages 3,805 - 100%",,,
Total Income,"8,384","1,897",342%
"Cost of Sales – Beverages (2,812) - 100%",,,
"Portfolio Costs (2,257) (677) 233%",,,
"Finance Costs (1,261) (262) 381%",,,
Share of Associate Profit 192 327 -41%,,,
Profit Before Tax,"2,246","1,285",75%
Tax (339) (55) 516%,,,
Profit After Tax,"1,907","1,230",55%
"Other Comprehensive Income (1,115) 2,062 -154%",,,
Total Comprehensive Income,792,"3,291",-76%
