KES million,HY 2017,HY 2016,Variance
Sale of Goods (Beverage Business),"3,741","3,805",-2%
Sale of Goods (Publishing Business),380,-,100%
Sale of Goods (Agribusiness),1,-,100%
Dividend Income,191,327,-42%
Interest Income,"1,921","1,350",42%
Fund Management Income,349,449,-22%
Leasing Income,11,-,100%
Other Income,364,719,-49%
Realised Gain on Sale of Investments,13,"1,734",-99%
Unrealized Gains on Revaluation of Investment Property,"1,520",-,100%
Total Revenue,"8,490","8,384",1.26%
Cost of Sales - Beverages,"(2,652)","(2,812)",-6%
Administration and Operating Expenses,"(2,478)","(2,257)",10%
Share of Associates Profits,346,192,80%
Finance Costs,(946),"(1,261)",-25%
Profit Before Tax,"2,760","2,247",23%
Tax,(702),(339),107%
Profit After Tax,"2,058","1,908",8%
Other Comprehensive Income,(256),"(1,115)",-77%
Total Comprehensive Income,"1,802",792,127%
