"1,071,046","995,313",At fair value through profit or loss,-,"105,560"
"1,815,488","1,762,594",loans and receivables,"7,882,235","7,024,180"
"10,605,609","7,039,093",Available for sale,"20,885,480","14,277,901"
"1 3,492,143","9,797,000",,"28,767,715","21,407,641"
,,Fair value through profit or loss,,
"1,071,046","995,313",Corporate bonds,-,"105,560"
,,loans and receivables:,,
"1,032,748","260,825",Receivables,"27,499","123,796"
"224,018","902,500",Deposits,"108,851","902,500"
"558,722","599,269",Cash and cash equivalents,"66,081","28,396"
-,-,Due from subsidiary Companies,"7,679,804","5,969,488"
"1,815,488","1,762,594",,"7,882,235","7,024,180"
,,Available for sale:,,
-,-,investment in subsidiaries,"8,109,520","3,442,759"
-,-,investment in associates,"6,594,340","6,152,947"
"7,569,310","4,306,221",unquoted investments,"5,495,272","3,593,417"
"3,036,299","2,732,872",Quoted investments,"686,348","1,088,778"
"10,605,609","7,039,093",,"20,885,480","14,227,901"
