At 31 March 2023,Column,Column,Column,Column,Column
Government securities,"137,195",-,"268,890",-,"199,693"
"Corporate bonds and
commercial papers",-,-,"927,533",-,"3,904,675"
Finance lease receivables,-,-,"227,835",-,-
Call deposits,-,-,"86,531",-,"271,032"
Bank balances,-,-,"1,093,229",-,"77,218"
Trade and other receivables,-,-,"1,681,578",-,"77,340"
Debt investment in subsidiaries,-,-,-,-,"10,344,329"
Quoted investments,-,"3,792",-,-,-
Unquoted investments,-,"4,825,113",-,-,-
,"137,195","4,828,905","4,285,596",-,"14,874,287"
