Column,Column,Assets,Column,Column
"3,036,299","2,732,872",Quoted investments,"686,348","1,088,778"
"1,071,046","995,313",Corporate bonds,-,"105,560"
-,-,Due from subsidiary companies,"7,668,573","5,969,488"
"1,071,947","260,825",Receivables,"27,499","123,796"
"224,018","902,500",Deposits,"108,851","902,500"
"619,630","599,269",Cash,"66,081","28,396"
"6,022,940","5,490,779",,"8,679,198","8,218,518"
,,Liabilities,,
"1,840,552","287,858",Payables and accruals,"204,467","230,182"
-,-,Due to subsidiary companies,"121,846","838,300"
"28,987","32,504",unclaimed dividends,"28,987","32,504"
"1,291,101",-,overdraft,-,-
"4,201,029","4,149,532",Borrowings,"5,492,130","4,149,532"
"7,361,669","4,469,894",,"5,847,430","5,250,518"
"(1,338,729)","1,020,885",net liquid assets,"2,831,768","2,968,000"
