Column,Group,Column,Company,Column
,Ksh’000,Ksh’000,Ksh’000,Ksh’000
Fixed-rate instruments,,,,
Financial assets,,,,
Government securities at amortised cost,"74,081","268,890","54,065","199,693"
"Government securities at fair value through profit and
loss","130,805","692,935",-,-
Corporate bonds,"93,007","290,438",-,-
Commercial papers,"286,225","637,095","959,822","3,904,675"
Loans and advances,"271,180","100,927",-,-
Call deposits,"988,600","86,531","253,384","271,032"
Variable-rate instruments,,,,
Financial liabilities,,,,
Borrowings,"16,590,542","19,677,780","1,950,589","2,248,171"
