Subsidiary,Entity,% Holding
REAL ESTATE,,
Two Rivers Development Limited,Two Rivers Lifestyle Centre Limited,50%
,Two Rivers Power Company Limited,100%
,Two Rivers Water and Sanitation Company Limited,100%
,Two Rivers Luxury Apartments Limited,100%
,Two Rivers ICT Company Limited,100%
,Two Rivers Property Owners Limited,100%
,Two Rivers Office Suites Limited,100%
,Two Rivers Development Phase Two Limited,100%
Centum Development Limited,Pearl Marina Estates Limited,100%
FINANCIAL SERVICES,,
Kilele Holdings Limited,Platcorp Holdings Limited,35.63%
Bakki Holdco Limited,Sidian Bank Limited,74.82%
POWER,,
Mvuke Limited,Akiira Geothermal Limited,37.5%
MARKETABLE SECURITIES,,
Centum Exotics Limited,Oleibon Investments Limited,100%
