Column,Column,assets,Column,Column
"2,732,872","1,666,309",Quoted investments,"1,088,778","1,289,540"
"995,313","480,000",Corporate bonds,"105,560","480,000"
-,-,Due from subsidiary companies,"5,969,488","3,104,780"
"260,825","36,079",Receivables,"123,796","152,360"
"902,500","310,000",Deposits,"902,500","310,000"
"599,269","12,410",Cash,"28,396","7,340"
"5,490,779","2,504,798",,"8,218,518","5,344,020"
,,liabilities,,
"298,602","355,956",Payables and accruals,"240,926","134,078"
-,-,Due to subsidiary companies,"838,300","862,303"
"25,275","34,437",unclaimed dividends,"25,275","34,437"
"4,419,532","1,000,000",Borrowings,"4,149,532","1,000,000"
"4,473,409","1,390,393",,"5,254,033","2,030,818"
"1,017,370","1,114,405",net liquid assets,"2,964,485","3,313,202"
