Portfolio Companies,Stake,Sector,Carrying Value (KES Mn),Column,Valuation Method,"Implied
Valuation
Multiple"
,,,"31-Mar-
18",31-Mar-17,,
Growth Portfolio,,,,,,
Almasi Beverages Limited,53.90%,FMCG,"8,697","7,716",FV: Multiples,6.77x
Nairobi Bottlers Ltd,27.60%,FMCG,"5,078","4,388",FV: Multiples,6.77x
Sidian Bank Limited,77.02%,Fin. Services,"3,890","3,232",FV: Multiples,1.16x
Isuzu (E.A.) Ltd,17.80%,Others,"2,470","3,027",FV: Recent price,
Platcorp Holdings Limited,25.00%,Fin. Services,-,"2,651",FV: Recent price,
GenAfrica Investment Management Ltd,73.40%,Fin. Services,"2,324","1,404","Ongoing
Transaction",
Nabo Capital Limited,100.00%,Fin. Services,494,765,NAV,
NAS Servair,15.00%,Others,856,765,FV: Multiples,3.90x
Longhorn Kenya Limited,60.20%,Others,763,738,Market price,
Centum Business Solutions Limited,100.00%,Others,399,219,NAV,
Zohari Leasing Limited,100.00%,Fin. Services,213,208,NAV,
King Beverage Limited,100.00%,FMCG,471,310,Cost,
Others,,,201,363,Cost,
Total,,,"25,856","25,787",,
Development Portfolio,,,,,,
Amu Power Ltd,51.00%,Energy,"2,103","2,144",Cost,
Akiira Geothermal Limited,37.50%,Energy,"1,491","1,347",Cost,
ACE Holdings Limited,40.00%,Education,556,295,Cost,
Greenblade Growers Limited,100.00%,Agribusiness,185,269,NAV,
"Others - Healthcare, Agribusiness Dev. Cost",-,,269,178,Cost,
Total,,,"4,605","4,233",,
