Basis for measurement of loss allowance,"12-month
expected
credit losses",Lifetime expected credit losses,Column,Column,Column
,,(a),(b),(c),Total
,Ksh’000,Ksh’000,Ksh’000,Ksh’000,Ksh’000
At 31 March 2024,,,,,
Call deposits,"253,384",-,-,-,"253,384"
Bank balances,"66,555",-,-,-,"66,555"
Government securities and corporate bonds,"1,013,887",,,,"1,013,887"
Trade and other receivables,-,-,-,"28,355","28,355"
Shareholder loans advanced to subsidiaries,"14,437,908",-,-,-,"14,437,908"
Gross carrying amount,"15,771,734",-,-,"28,355","15,800,089"
Loss allowance,"(3,208,101)",-,-,-,"(3,208,101)"
Exposure to credit risk,"12,563,633",-,-,"28,355","12,591,988"
At 31 March 2023,,,,,
Call deposits,"271,032",-,-,-,"271,032"
Bank balances,"77,218",-,-,-,"77,218"
Government securities and bonds,"4,104,369",,,,"4,104,369"
Trade and other receivables,-,-,-,"71,788","71,788"
Shareholder loans advanced to subsidiaries,"13,534,929",-,-,-,"13,534,929"
Gross carrying amount,"17,987,548",-,-,"71,788","18,059,336"
Loss allowance,"(3,190,600)",-,-,-,"(3,190,600)"
Exposure to credit risk,"14,796,948",-,-,"71,788","14,868,736"
