Group,Column,Column,Column,Column,Column
31 March 2024,"Carrying
amount",Fair value,Level 1,Level 2,Level 3
Financial assets,Ksh’000,Ksh’000,Ksh’000,Ksh’000,Ksh’000
Government securities at amortised cost,"74,081","74,081",-,-,"74,081"
Loans and advances,"271,180","271,180",-,-,"271,180"
Finance lease receivable,"8,500","8,500",-,-,"8,500"
Cash and cash equivalent,"1,431,113","1,431,113",-,-,"1,431,113"
Restricted cash,"1,732","1,732",-,-,"1,732"
Other assets,"2,038,929","2,038,929",-,-,"2,038,929"
,"3,825,535","3,825,535",-,-,"3,825,535"
Financial liabilities,,,,,
Borrowings,"16,590,542","16,590,542",-,-,"16,590,542"
Dividend payable,"443,563","443,563",-,-,"443,563"
Other liabilities,"12,806,077","12,806,077",-,-,"12,806,077"
,"29,840,182","29,840,182",-,-,"29,840,182"
31 March 2023,,,,,
Financial assets,,,,,
Government securities at amortised cost,"692,935","692,935",-,-,"692,935"
Loans and advances,"100,927","100,927",-,-,"100,927"
Finance lease receivable,"227,835","227,835",-,-,"227,835"
Cash and cash equivalent,"542,873","4,291,620",-,-,"4,291,620"
Restricted cash,"636,887","636,887",-,-,"636,887"
Other assets,"2,087,647","4,363,730",-,-,"4,363,730"
,"4,289,104","10,313,934",-,-,"10,313,934"
Financial liabilities,,,,,
Borrowings,"31,830,787","31,830,787",-,-,"31,830,787"
Dividend payable,"249,158","249,158",-,-,"249,158"
Other liabilities,"13,104,779","13,104,779",-,-,"13,104,779"
,"45,184,724","45,184,724",-,-,"45,184,724"
Reconciliation of level 3,Note,,,,
Government securities at amortised cost,7.2,,,,
Loans and advances,7.1,,,,
Finance lease receivable,8.3,,,,
Cash and cash equivalents,4.3,,,,
