Share capital,"332,721","332,721","332,721","332,721"
Share premium,"589,753","589,753","589,753","589,753"
Investment revaluation reserve,"(505,196)","(442,816)","19,158,925","14,210,529"
Retained earnings,"38,491,054","35,451,997","20,817,805","20,471,836"
Dividends proposed,"210,000","400,000","210,000","400,000"
Treasury shares,"(67,209)","(36,709)","(67,209)","(36,709)"
Non-controlling interest,"713,260","811,178",-,-
Equity,"39,764,383","37,106,124","41,041,995","35,968,130"
Total borrowings,"16,590,542","19,677,780","1,950,589","2,248,171"
Less: cash and bank balances,"(1,431,113)","(3,654,733)","(319,939)","(348,250)"
Net borrowings,"15,159,429","16,023,047","1,630,650","1,899,921"
Gearing (%),38.12%,43.18%,3.97%,5.28%
