Kes. m,HY 20131A,HY 2012 A,PE,QPE,RE&I
Activity,,,,,
Investments,"(1,207)","(2,967)",(453),(662),(91)
Realization proceeds,"1,275","2,750",6,"1,269",-
Net investments,68,(217),(447),607,(91)
Return,,,,,
Gross Return,608,140,(156),615,149
Total Return,348,(67),(214),563,(1)
Return on equity,3%,(1)%,(2)%,23%,(0)%
Cost efficiency,1%,1.9%,,,
Financial Position,30.09.12,31.03.12,PE,QPE,REI
Portfolio value,"14,881","14,694","8,619","2,036","4,227"
Net asset value,"14,033","13,685","8,686","2,222","3,126"
