Column,Column,Column,FY08/09,Column,FY 07/08,Column
N o.,Name,Status,"No of
Shares","%
Holding","No. of
Shares","%
Holding"
1.,James Ngatia Muguiyi,Chairman,"177,630",0.03%,"185,630",0.03%
2.,James Mwirigi Mworia,Managing,"190,080",0.03%,-,-
3.,"Industrial and Commercial Development
Corporation (ICDC)",Director,"129,304,130",23.51%,"129,304,130",23.51%
4.,Isaac Buddy Mogaka,Alternate,-,0.00%,-,0.00%
5.,PS Ministry of Trade and Industry,Director,-,0.00%,-,0.00%
6.,Margarer Martha Byama,Alternate,-,0.00%,-,0.00%
7.,Christopher John Kirubi,Director,"91,287,790",16.60%,"89,528,070",16.28%
8.,Pauline Muthoni Muriuki,Director,-,0.00%,"6,400",0.00%
9.,Henry Chege Njoroge,Director,"199,124",0.04%,"100,024",0.02%
10.,Imtiaz Khan,Director,-,-,-,-
11.,Robert Kenneth Bunyi,Director,200,0.00%,"50,240",0.01%
,Shares held by Directors,,"221,158,954",40.18%,"219,174,494",39.85%
,Other Shareholders,,"328,792,876",59.79%,"330,777,336",60.15%
,Total Issued Shares,,"549,951,830",99.97%,"549,951,830",100.00%
