Column,At 31 March 2012,Column
"37,494",Cost,"37,494"
"(11,027)",Accumulated depreciation,"(11,027)"
"26,467",net book amount,"26,467"
,Year ended 31 March 2013,
"26,467",opening net book amount,"26,467"
"22,594",Additions,"22,594"
"(5,062)",Depreciation charge,"(5,062)"
"43,999",Closing net book amount,"43,999"
,At 31 March 2013,
"60,088",Cost,"60,088"
"(16,089)",Accumulated depreciation,"(16,089)"
"43,999",net book amount,"43,999"
,Year ended 31 March 2014,
"43,999",opening net book amount,"43,999"
"26,915",Additions,-
-,Transfer,"(43,999)"
"(10,960)",Depreciation charge,-
"59,954",Closing net book amount,-
,At 31 March 2014,
"87,003",Cost,-
"(27,049)",Accumulated depreciation,-
"59,954",net book amount,-
