KES Million,FY 2017,FY 2016,Change
Trading subsidiaries,,,
Sales,"9,402","8,141",15%
Direct and other operating costs,"(8,205)","(7,462)",-10%
Trading operations,"1,197",679,76%
Financial services subsidiaries,,,
Income from financial services,"4,075","4,072",0%
Funding and other costs,"(3,885)","(3,488)",-11%
Operating profit from financial services,190,584,-67%
Investment operations,,,
Investment and other income,"8,379","11,952",-30%
Operating and administrative costs,"(1,122)","(1,435)",22%
Finance costs,"(1,048)","(1,982)",47%
Share of associates profits,"1,347","1,074",25%
Profit from investment activities,"7,556","9,609",-21%
Profit before tax,"8,943","10,873",-18%
Profit after tax,"8,310","9,948",-16%
Return on shareholder funds,19%,31%,-39%
